iter, curl_err, torque_err
359,0.012908,0.010051
360,0.011167,0.001203
361,0.019735,0.001552
362,0.014574,0.026619
363,0.013091,0.005094
364,0.013187,0.014402
365,0.010862,0.007305
366,0.010131,0.020164
367,0.01896,0.006016
368,0.019758,0.00905
369,0.010812,0.01718
370,0.073949,0.006208
371,0.012223,0.027625
372,0.022625,0.010546
373,0.0156,0.021965
374,0.011911,0.027029
375,0.0131,0.007077
376,0.011885,0.003352
377,0.022731,0.011533
378,0.012655,0.024374
379,0.013026,0.024677
380,0.01477,0.004237
381,0.013297,0.020248
382,0.017249,0.021867
383,0.0285,0.009301
384,0.011316,0.012761
385,0.015249,0.004131
386,0.014185,0.017317
387,0.011928,0.003295
388,0.011695,0.034931
389,0.034389,0.001536
390,0.009904,0.012708
391,0.066623,0.080041
392,0.015613,0.026977
393,0.022396,0.008035
394,0.028158,0.044405
395,0.01165,0.026226
396,0.01404,0.012099
397,0.011987,0.050601
398,0.016996,0.014782
399,0.009471,0.009817
400,0.009303,0.012776
401,0.011412,0.027034
402,0.016845,0.011531
403,0.012855,0.035054
404,0.014988,0.035584
405,0.0135,0.003016
406,0.012372,0.025806
407,0.011577,0.061642
408,0.028276,0.001773
409,0.009833,0.007025
410,0.015345,0.079136
411,0.0116,0.000089
412,0.017932,0.027565
413,0.015919,0.012537
414,0.039805,0.001429
415,0.011684,0.031034
416,0.088415,0.007757
417,0.014002,0.000046
418,0.012103,0.000076
419,0.01679,0.01421
420,0.014321,0.003189
421,0.016358,0.038958
422,0.010963,0.000567
423,0.024229,0.013833
424,0.016626,0.019419
425,0.034456,0.003049
426,0.012876,0.024546
427,0.011649,0.006906
428,0.013295,0.019403
429,0.018959,0.009338
430,0.018178,0.011725
431,0.015219,0.00586
432,0.018352,0.000576
433,0.013283,0.020131
434,0.011817,0.038495
435,0.013558,0.026206
436,0.026413,0.027651
437,0.016188,0.001044
438,0.014648,0.002051
439,0.013115,0.002523
440,0.017139,0.022664
441,0.013816,0.019173
442,0.026325,0.008841
443,0.012586,0.008394
444,0.052784,0.042464
445,0.018257,0.000126
446,0.015464,0.018646
447,0.017244,0.014407
448,0.014819,0.00431
449,0.012644,0.007463
450,0.009908,0.010425
451,0.027408,0.021167
452,0.012699,0.008348
453,0.014625,0.011789
454,0.013864,0.013119
455,0.026774,0.016881
456,0.015911,0.00411
457,0.019835,0.028016
458,0.018581,0.059379
459,0.035776,0.014203
460,0.010422,0.01535
461,0.029933,0.010024
462,0.024292,0.016013
463,0.012654,0.008769
464,0.012176,0.007557
465,0.016393,0.008287
466,0.012508,0.021255
467,0.016283,0.024418
468,0.01285,0.032161
469,0.015437,0.018009
470,0.024469,0.004894
471,0.014023,0.009602
472,0.010156,0.002835
473,0.01169,0.021384
474,0.023869,0.025703
475,0.01068,0.010897
476,0.014223,0.042814
477,0.011542,0.032397
478,0.014363,0.019239
479,0.010661,0.009513
480,0.013746,0.004085
481,0.017175,0.003981
482,0.010043,0.02623
483,0.017709,0.018713
484,0.014221,0.031625
485,0.017117,0.035077
486,0.014438,0.006406
487,0.014796,0.01376
488,0.016116,0.020852
489,0.011397,0.012847
490,0.014917,0.04307
491,0.011416,0.012763
492,0.033526,0.00668
493,0.029604,0.020424
494,0.039737,0.012431
495,0.016012,0.002684
496,0.014708,0.003163
497,0.01021,0.013376
498,0.011404,0.026367
499,0.031914,0.043999
500,0.011998,0.00408
501,0.019617,0.001597
502,0.017604,0.046434
503,0.012204,0.034706
504,0.011494,0.004259
505,0.016098,0.00033
506,0.029838,0.000124
507,0.022678,0.0118917
508,0.013005,0.017772
509,0.019522,0.001891
510,0.02863,0.002421
511,0.023227,0.011808
512,0.012626,0.033171
513,0.012646,0.029236
514,0.010972,0.013722
515,0.016506,0.016108
516,0.012637,0.005162
517,0.012555,0.022893
518,0.011672,0.006494
519,0.017247,0.026623
520,0.014937,0.026194
521,0.009165,0.001844
522,0.019236,0.009277
523,0.04713,0.009793
524,0.015032,0.006874
525,0.018342,0.000408
526,0.01868,0.008577
527,0.015611,0.036986
528,0.018257,0.033104
529,0.021402,0.021515
530,0.014927,0.039342
531,0.029677,0.006212
532,0.011738,0.018436
533,0.011045,0.025406
534,0.046969,0.016827
535,0.011538,0.00249
536,0.028769,0.045704
537,0.013922,0.000608
538,0.01406,0.011863
539,0.016285,0.013008
540,0.013531,0.015611
541,0.010466,0.005001
542,0.02662,0.006275
543,0.013284,0.038696
544,0.014704,0.007335
545,0.02033,0.020549
546,0.016716,0.020323
547,0.016863,0.081793
548,0.01175,0.000058
549,0.011894,0.013439
550,0.018394,0.037647
551,0.011307,0.030876
552,0.015239,0.000771
553,0.022285,0.010929
554,0.019743,0.003715
555,0.009999,0.003606
556,0.015825,0.00143
557,0.010297,0.01452
558,0.022944,0.032198
559,0.010706,0.008197
560,0.020367,0.018473
561,0.033456,0.03163
562,0.011826,0.011252
563,0.015034,0.049996
564,0.013023,0.001368
565,0.019674,0.069029
566,0.016392,0.000174
567,0.008944,0.023064
568,0.009541,0.043407
569,0.016077,0.004152
570,0.022068,0.040585
571,0.016808,0.004317
572,0.012952,0.004333
573,0.021597,0.007028
574,0.014162,0.03828
575,0.014415,0.024618
576,0.024442,0.018043
577,0.018959,0.019399
578,0.02597,0.029672
579,0.011046,0.013209
580,0.029664,0.01222
581,0.011737,0.014855
582,0.019423,0.001393
583,0.019401,0.015459
584,0.014535,0.006899
585,0.021896,0.001946
586,0.010887,0.045578
587,0.014099,0.038924
588,0.017704,0.009323
589,0.016782,0.005179
590,0.011256,0.008094
591,0.016826,0.0347
592,0.0312,0.003915
593,0.01488,0.004348
594,0.010468,0.020792
595,0.009642,0.01089
596,0.020299,0.012772
597,0.013637,0.00915
598,0.018588,0.009035
599,0.014075,0.014502
600,0.010134,0.002415
601,0.020861,0.012713
602,0.010368,0.024757
603,0.039181,0.008877
604,0.015484,0.048118
605,0.013526,0.012084
606,0.014635,0.034871
607,0.012706,0.003067
608,0.015457,0.034816
609,0.014384,0.014616
610,0.029297,0.00077
611,0.014389,0.01332
612,0.023012,0.033438
613,0.01784,0.000865
614,0.014594,0.026396
615,0.020672,0.028117
616,0.017283,0.013697
617,0.018634,0.027896
618,0.01774,0.002031
619,0.013216,0.011152
620,0.023449,0.01674
621,0.018046,0.002266
622,0.011261,0.025087
623,0.025487,0.028099
624,0.01195,0.03507
625,0.054084,0.002689
626,0.014263,0.012964
627,0.018933,0.019921
628,0.025303,0.062773
629,0.03222,0.00991
630,0.010898,0.010803
631,0.014959,0.019972
632,0.01197,0.010914
633,0.019938,0.001914
634,0.01825,0.009386
635,0.017481,0.001523
636,0.014867,0.013155
637,0.013061,0.047406
638,0.011187,0.004114
639,0.01237,0.015111
640,0.018261,0.050511
641,0.013912,0.014772
642,0.019951,0.01851
643,0.010423,0.043387
644,0.01383,0.01942
645,0.023109,0.041447
646,0.017878,0.009805
647,0.011587,0.004188
648,0.019935,0.005283
649,0.01025,0.006993
650,0.010681,0.010225
651,0.024534,0.025359
652,0.024472,0.006371
653,0.012643,0.01494
654,0.014268,0.005712
655,0.016496,0.003283
656,0.014958,0.021041
657,0.010492,0.021662
658,0.01029,0.005693
659,0.016013,0.029067
660,0.021377,0.044035
661,0.014361,0.029289
662,0.021251,0.019197
663,0.018181,0.000937
664,0.015442,0.00287
665,0.016324,0.004521
666,0.018574,0.022626
667,0.01223,0.003826
668,0.017266,0.014222
669,0.017297,0.044526
670,0.012767,0.002519
671,0.019567,0.009417
672,0.011368,0.058361
673,0.018408,0.00446
674,0.009639,0.019779
675,0.029647,0.008683
676,0.015125,0.003978
677,0.018168,0.013236
678,0.011346,0.02309
679,0.017863,0.016037
680,0.0318,0.03927
681,0.013209,0.052155
682,0.028247,0.02575
683,0.013749,0.005471
684,0.011939,0.021099
685,0.012551,0.038078
686,0.014227,0.018286
687,0.017762,0.026187
688,0.016053,0.009402
689,0.01854,0.007043
690,0.011473,0.058954
691,0.013244,0.003
692,0.012671,0.05067
693,0.012076,0.018088
694,0.014354,0.017022
695,0.017453,0.021968
696,0.011293,0.00277
697,0.020865,0.05004
698,0.019623,0.017339
699,0.010989,0.011729
700,0.015998,0.045247
701,0.018654,0.026989
702,0.013309,0.03834
703,0.012174,0.005762
704,0.011935,0.022069
705,0.013165,0.026402
706,0.016802,0.020317
707,0.033216,0.007127
708,0.013454,0.000343
709,0.020954,0.027048
710,0.025707,0.018368
711,0.016351,0.03578
712,0.010477,0.016119
713,0.022642,0.011779
714,0.017313,0.007812
715,0.011631,0.008881
716,0.016468,0.027779
717,0.015419,0.004449
718,0.047308,0.013201
719,0.013061,0.003199
720,0.011332,0.039597
721,0.011587,0.025552
722,0.013702,0.000931
723,0.015121,0.005821
724,0.027631,0.017961
725,0.011798,0.032882
726,0.012695,0.024642
727,0.012455,0.015296
728,0.014874,0.006088
729,0.013282,0.00273
730,0.01278,0.009785
731,0.015563,0.00601
732,0.018642,0.028846
733,0.016332,0.047443
734,0.011881,0.01415
735,0.010278,0.018767
736,0.015379,0.00013
737,0.021422,0.019737
738,0.027441,0.031519
739,0.012622,0.029601
740,0.014377,0.000479
741,0.018716,0.035247
742,0.016855,0.00341
743,0.016607,0.010805
744,0.012799,0.025072
745,0.026019,0.001771
746,0.021239,0.037841
747,0.012047,0.005872
748,0.013327,0.016951
749,0.035802,0.016214
750,0.015267,0.027172
751,0.023701,0.00051
752,0.013636,0.036158
753,0.018548,0.017795
754,0.016456,0.001809
755,0.01609,0.004075
756,0.011243,0.014254
757,0.019304,0.065214
758,0.043696,0.005113
759,0.024427,0.039518
760,0.015499,0.008614
761,0.020928,0.03557
762,0.019395,0.032322
763,0.010386,0.00011
764,0.012207,0.017488
765,0.011733,0.01583
766,0.01952,0.032186
767,0.010215,0.005203
768,0.046622,0.024816
769,0.011754,0.007814
770,0.057888,0.02044
771,0.010912,0.052396
772,0.011821,0.001933
